,min,max
IBOVESPA - Close,380.1000061035156,137344.0
IBOVESPA - High,380.1000061035156,137469.0
IBOVESPA - Low,373.3999938964844,136664.0
IBOVESPA - Open,375.5,137349.0
Dólar - Close,1.5336999893188477,6.300000190734863
Dólar - High,1.544100046157837,6.411099910736084
Dólar - Low,1.5252000093460083,6.181506156921387
Dólar - Open,1.5336999893188477,6.297999858856201
Dow Jones - Close,3593.35009765625,45014.0390625
Dow Jones - High,3634.52001953125,45073.62890625
Dow Jones - Low,3552.469970703125,44799.73828125
Dow Jones - Open,3593.929931640625,45054.359375
S&P 500 - Close,438.9200134277344,6144.14990234375
S&P 500 - High,444.7200012207031,6147.43017578125
S&P 500 - Low,435.8599853515625,6111.14990234375
S&P 500 - Open,439.1400146484375,6134.5
Nasdaq - Close,693.7899780273438,20173.890625
Nasdaq - High,699.780029296875,20204.580078125
Nasdaq - Low,690.9500122070312,20004.73046875
Nasdaq - Open,694.1599731445312,20114.98046875
Shanghai SE - Close,1011.4990234375,6092.05712890625
Shanghai SE - High,1019.9219970703124,6124.0439453125
Shanghai SE - Low,998.22802734375,6040.712890625
Shanghai SE - Open,1007.9010009765624,6057.42822265625
Nikkei - Close,7054.97998046875,42224.01953125
Nikkei - High,7100.77001953125,42426.76953125
Nikkei - Low,6994.89990234375,42102.4609375
Nikkei - Open,7059.77001953125,42343.71875
HanSeng Index - Close,6660.419921875,33154.12109375
HanSeng Index - High,6855.31005859375,33484.078125
HanSeng Index - Low,6544.7900390625,32897.0390625
HanSeng Index - Open,6649.4501953125,33335.48046875
Kospi - Close,280.0,3305.2099609375
Kospi - High,291.010009765625,3316.080078125
Kospi - Low,277.3699951171875,3295.43994140625
Kospi - Open,283.4100036621094,3305.4599609375
ASX 200 - Close,1782.300048828125,8555.7998046875
ASX 200 - High,1782.300048828125,8615.2001953125
ASX 200 - Low,1782.300048828125,8540.0
ASX 200 - Open,1782.300048828125,8540.0
FTSE 100 - Close,2876.60009765625,8871.2998046875
FTSE 100 - High,2902.199951171875,8908.7998046875
FTSE 100 - Low,2844.699951171875,8809.7001953125
FTSE 100 - Open,2844.699951171875,8871.2998046875
DAX - Close,1911.699951171875,23419.48046875
DAX - High,1921.300048828125,23476.009765625
DAX - Low,1891.7099609375,23240.560546875
DAX - Open,1903.760009765625,23295.720703125
CAC 40 - Close,1721.0999755859375,8239.990234375
CAC 40 - High,1732.199951171875,8259.1904296875
CAC 40 - Low,1711.800048828125,8211.2001953125
CAC 40 - Open,1718.699951171875,8241.6796875
FTSE MIB - Close,12363.0,49464.0
FTSE MIB - High,12656.0,49464.0
FTSE MIB - Low,12296.0,49464.0
FTSE MIB - Open,12358.0,49464.0
STOXX 600 - Close,157.97000122070312,563.1300048828125
STOXX 600 - High,159.67999267578125,565.1799926757812
STOXX 600 - Low,155.3800048828125,556.25
STOXX 600 - Open,157.92999267578125,561.030029296875
Petróleo WTI - Close,-37.630001068115234,145.2899932861328
Petróleo WTI - High,13.6899995803833,147.27000427246094
Petróleo WTI - Low,-40.31999969482422,143.22000122070312
Petróleo WTI - Open,-14.0,145.19000244140625
Petróleo Brent - Close,19.32999992370605,146.0800018310547
Petróleo Brent - High,21.270000457763672,147.42999267578125
Petróleo Brent - Low,16.0,144.27000427246094
Petróleo Brent - Open,19.559999465942383,146.0800018310547
Minério de Ferro - Close,38.540000915527344,219.7700042724609
Minério de Ferro - High,38.540000915527344,219.7700042724609
Minério de Ferro - Low,38.02999877929688,219.7700042724609
Minério de Ferro - Open,38.02999877929688,219.7700042724609
Bitcoin - Close,178.10299682617188,106146.265625
Bitcoin - High,215.24099731445312,109114.8828125
Bitcoin - Low,171.50999450683594,105291.734375
Bitcoin - Open,176.89700317382812,106147.296875
PIB,219117.0,2865301.0
IPCA,-0.68,6.84
INPC,-0.6,7.75
Meta Selic,1.0,45.0
Taxa acumulada no período,0.21,3.98
ASX 200 - Spread,0.0,665.599609375
Bitcoin - Spread,1.172012329101534,12864.62109375
CAC 40 - Spread,7.800048828125,398.85009765625
DAX - Spread,4.68994140625,921.060546875
Dow Jones - Spread,12.300048828125,1904.390625
Dólar - Spread,0.0,0.3147001266479492
FTSE 100 - Spread,4.699951171875,639.0
FTSE MIB - Spread,0.0,2766.0
HanSeng Index - Spread,0.0,2139.5390625
IBOVESPA - Spread,1.60009765625,16615.0
Kospi - Spread,3.22003173828125,224.340087890625
Minério de Ferro - Spread,0.0,7.620002746582017
Nasdaq - Spread,1.90997314453125,898.23046875
Nikkei - Spread,0.0,4145.060546875
Petróleo Brent - Spread,-0.37999725341796875,23.6300048828125
Petróleo WTI - Spread,0.020000457763671875,58.170000076293945
S&P 500 - Spread,1.2899780273438068,218.9599609375
STOXX 600 - Spread,0.0,33.660003662109375
Shanghai SE - Spread,0.969970703125,432.08935546875
IBOVESPA - Close %,-0.15809018567639255,0.33419023136246784
IBOVESPA - High %,-0.10958302424252109,0.18155373032169742
IBOVESPA - Low %,-0.1556779811622534,0.3518865957890349
IBOVESPA - Open %,-0.2582070160242529,0.3415360190513992
Dólar - Close %,-0.27008803800159686,0.10152376471103208
Dólar - High %,-0.2670838884133333,0.09428628235033609
Dólar - Low %,-0.26930122974816917,0.06376632058844023
Dólar - Open %,-0.26559320117508833,0.10152376471103208
Dow Jones - Close %,-0.12926545507355425,0.1136504119941153
Dow Jones - High %,-0.07180281024016455,0.0845504224380147
Dow Jones - Low %,-0.0931854220912417,0.08753317360981727
Dow Jones - Open %,-0.09835221408952566,0.1094899347044227
S&P 500 - Close %,-0.11984055240393443,0.11580036951513706
S&P 500 - High %,-0.0685302309360235,0.08037938392125876
S&P 500 - Low %,-0.08435216412131441,0.09108330883079274
S&P 500 - Open %,-0.08711882280853234,0.10671209145639371
Nasdaq - Close %,-0.12321331290147408,0.14173196388926979
Nasdaq - High %,-0.09781912059547415,0.0966950032696563
